sid|list|delist|list_entry|delist_entry
000722.SZ|19970522|||
000723.SZ|19970515|||
000725.SZ|20010112|||
000726.SZ|20001225|||
000727.SZ|19970520|||
000728.SZ|19970616|||
000729.SZ|19970716|||
000730.SZ|19970522|20040924||
000731.SZ|19970617|||
000732.SZ|19970704|20230804||20230803
000733.SZ|19970703|||
000735.SZ|19970611|||
000736.SZ|19970425|||
000737.SZ|19970428|||
000738.SZ|19970626|||
000739.SZ|19970509|||
000748.SZ|19970704|20170118||
000750.SZ|19970709|||
000751.SZ|19970626|||
000752.SZ|19970625|||
000753.SZ|19970626|||
000755.SZ|19970627|||
000756.SZ|19970806|||
000757.SZ|19970627|||
000758.SZ|19970416|||
000759.SZ|19970519|||
000760.SZ|19970627|20210723||
000761.SZ|19980115|||
000762.SZ|19970708|||
000763.SZ|19970915|20060104||
000765.SZ|19971103|20050704||
000766.SZ|19970430|||
000767.SZ|19970609|||
000768.SZ|19970626|||
000769.SZ|19970530|20050921||
000776.SZ|19970611|||
000777.SZ|19970710|||
000778.SZ|19970606|||
000779.SZ|19970528|||
000780.SZ|19970606|20220124||20220125
000782.SZ|19970619|||
000783.SZ|19970731|||
000785.SZ|19970711|||
000786.SZ|19970606|||
000787.SZ|19970626|20130208||
000788.SZ|19970616|||
000789.SZ|19970923|||
000790.SZ|19980327|||
000791.SZ|19971014|||
000792.SZ|19970904|||
000793.SZ|19970729|||
000795.SZ|19970808|||
000796.SZ|19970703|||
000797.SZ|19970715|||
000798.SZ|19980212|||
000799.SZ|19970718|||
000800.SZ|19970618|||
000801.SZ|19980506|||
000802.SZ|19980108|||
000803.SZ|19980303|||
000805.SZ|19980529|20130327||
000806.SZ|19980416|20230706||20230706
000807.SZ|19980408|||
000809.SZ|19980616|||
000810.SZ|19980602|||
000811.SZ|19980528|||
000812.SZ|19980623|||
000813.SZ|19980519|||
000815.SZ|19980609|||
000816.SZ|19970818|||
000817.SZ|19980528|20060104||
000818.SZ|19971017|||
000819.SZ|19970625|||
000820.SZ|19980630|||
000821.SZ|19980626|||
000822.SZ|19980703|||
000823.SZ|19971008|||
000825.SZ|19981021|||
000826.SZ|19980225|||
000827.SZ|19981016|20050921||
000828.SZ|19970617|||
000829.SZ|19971202|||
000830.SZ|19980807|||
000831.SZ|19980911|||
000832.SZ|19980825|20060629||
000833.SZ|19981111|||
000835.SZ|19990625|20220523||20220523
000836.SZ|19970929|20240812||20240812
000837.SZ|19980928|||
000838.SZ|19970626|||
000839.SZ|19971031|||
000848.SZ|19971113|||
000850.SZ|19981007|||
000851.SZ|19980609|||
000852.SZ|19981126|||
000856.SZ|19980813|||
000858.SZ|19980427|||
000859.SZ|19981119|||
000860.SZ|19981104|||
000861.SZ|19981028|20240918||20240919
000862.SZ|19980915|||
000863.SZ|19970925|||
000866.SZ|19980512|20060421||
000868.SZ|19970725|||
000869.SZ|20001026|||
000875.SZ|20020926|||
000876.SZ|19980311|||
000877.SZ|19990107|||
000878.SZ|19980602|||
000880.SZ|19980402|||
000881.SZ|19980902|||
000882.SZ|19980616|||
000883.SZ|19980519|||
000885.SZ|19990319|||
000886.SZ|19980123|||
000887.SZ|19981203|||
000888.SZ|19971021|||
000889.SZ|19971218|||
000890.SZ|19990119|||
000892.SZ|19990115|||
000893.SZ|19981224|||
000895.SZ|19981210|||
000897.SZ|19990422|||
000898.SZ|19971225|||
000899.SZ|19971126|||
000900.SZ|19990128|||
000901.SZ|19990401|||
000902.SZ|19990408|||
000903.SZ|19990415|||
000905.SZ|19990429|||
000906.SZ|19990707|||
000908.SZ|19990203|||
000909.SZ|19990507|||
000910.SZ|19990630|||
000911.SZ|19990527|||
000912.SZ|19990603|||
000913.SZ|19990514|||
000915.SZ|19990609|||
000916.SZ|19990927|20171225||
000917.SZ|19990325|||
000918.SZ|19990720|20230728||20230727
000919.SZ|19991118|||
000920.SZ|19990616|||
000921.SZ|19990713|||
000922.SZ|19990618|||
000923.SZ|19990714|||
000925.SZ|19990611|||
000926.SZ|19990618|||
000927.SZ|19990727|||
000928.SZ|19990312|||
000929.SZ|19990623|||
000930.SZ|19990712|||
000931.SZ|19990712|||
000932.SZ|19990803|||
000933.SZ|19990831|||
000935.SZ|19990824|||
000936.SZ|19990810|||
000937.SZ|19990909|||
000938.SZ|19991104|||
000939.SZ|19990923|20201217||
000948.SZ|19991014|||
000949.SZ|19991021|||
000950.SZ|19990916|||
000951.SZ|19991125|||
000952.SZ|19991112|||
000953.SZ|19991202|||
000955.SZ|19991209|||
000956.SZ|19991110|20060421||
000957.SZ|20000113|||
000958.SZ|19991223|||
000959.SZ|19991216|||
000960.SZ|20000221|||
000961.SZ|20000301|20240711||20240710
000962.SZ|20000120|||
000963.SZ|20000127|||
000965.SZ|20000406|||
000966.SZ|20000316|||
