sid|list|delist|list_entry|delist_entry
26686|20121011|||
57424|20010328|20220713.0||20220707.0
30881|20150122|||
58659|20000706|20240812.0||20240812.0
14894|20031106|||
266496|20170321|||
47496|19931203|||
57312|19981210|||
56996|19990312|||
55448|19970617|||
59473|20010524|20240627.0||20240623.0
850078|20171218|||
49371|19940921|||
58121|19990923|20220428.0||20220422.0
55275|19970606|20210317.0||
267394|20170411|||
24524|20100323|||
26712|20110113|||
59070|20141106|||
25157|20120601|||
24955|20100319|||
25297|20100803|||
35984|20150216|||
25154|20100831|||
244382|20170111|||
24761|20100326|||
16995|20071009|||
26688|20101215|||
35846|20150326|||
26695|20110125|||
59626|20010612|||
940891|20180105|||
17308|20061220|||
56950|19981007|||
22297|20120216|||
36104|20150515|||
55297|19970418|||
53246|19960130|||
24724|20100716|||
26574|20101210|||
25281471|20180925|||
34786|20150702|||
29354|20120613|||
55256|19970618|||
57311|19981210|||
25201|20100625|||
266497|20170320|20240703.0||20240627.0
35077|20150630|||
25400764|20180918|||
13450|20020515|||
35855|20150610|||
57515|19990527|||
245228|20170124|||
26131|20101102|||
47497|19920427|||
24793|20140702|||
27153|20120726|||
14974|20031127|||
533493|20170822|||
471180|20170720|||
243584|20161121|||
24154|20091225|||
18796|20061208|||
56039|19970625|||
19867|20091117|||
27252|20140121|||
25489|20120329|||
48926|19951031|||
26575|20101210|||
15769|20040708|||
244556|20161228|||
27151|20110218|||
25269|20151102|||
244249|20161220|||
24530|20100409|||
25921|20100921|||
616732|20171116|||
23590|20100107|||
267022|20170410|||
54419|20020111|||
25487|20100806|||
47443|19930903|||
25206|20101109|||
47789|19940224|||
47758|19901210|20240426.0||20240426.0
20201|20070823|||
18525|20061124|||
47791|19940224|||
19772|20070613|||
47377|19930524|||
24516|20100402|||
15471|20040419|||
56705|19980225|20230327.0||20230321.0
13776|20020809|||
50321|19950217|||
47476|19931028|||
47451|19921130|||
238827|20160519|||
57828|19990707|||
59547|20010508|||
47452|19921208|||
47752|19940425|20220622.0||20220622.0
59315|20010216|||
54088|19960531|||
52334|19951115|||
57539|19990415|||
21103|20080201|||
15740|20040629|||
53449|19960408|||
36089|20150612|||
56784|19980506|||
54479|19961029|||
54294|19960808|||
14425|20030422|||
56057|19970908|||
12995|20011226|||
27980|20110622|||
26001|20101102|||
27790|20110421|||
14702|20031118|||
26754|20101231|||
54211|19960726|||
27325|20110316|||
28376|20150422|||
24452|20100211|||
245279|20170126|||
55287|19970410|||
57762|20000511|||
28380|20120507|||
57370|19990401|||
15701|20040622|||
19601|20070530|||
59290|20010108|||
534593|20170825|||
59623|20010615|||
15492|20040427|||
551170|20170922|||
24359|20100312|||
28244|20110719|||
55262|19970619|||
28352|20150325|||
54240|19960802|||
245413|20170209|||
59798|20010910|||
24698|20100511|||
584571|20171016|||
56363|19971118|||
47447|19931028|||
27317|20110302|||
47394|19931008|||
27280|20160328|||
14043|20021210|||
241466|20160901|||
27295|20140701|||
23761|20091218|||
36028|20141230|||
239905|20160706|||
617760|20171121|||
25564|20101013|||
21581|20100329|||
19543|20070418|||
553115|20170929|||
55441|19970703|||
48155|19940520|||
20202|20070919|||
244288|20161221|||
26029|20101102|||
26767|20110201|||
26902538|20181107|||
55367|19970519|||
55155|19970226|||
976471|20180227|||
20751|20071203|||
240653|20160802|20230712.0||20230712.0
21002|20080128|||
29733|20120705|||
27321|20110329|||
54227|19960716|||
27432|20110610|||
19435|20070328|||
47351|19930209|||
55412|19970603|||
54210|19960731|||
59274|20010115|||
28881|20111111|||
20198|20071012|||
57085|19990625|20220523.0||20220523.0
54496|19961104|||
13967|20021108|||
51911|19951013|||
57455|19990128|||
24886|20100608|||
57926|19990810|||
25365|20100625|20230713.0||20230713.0
15779|20040708|||
47454|19921221|||
56044|19970704|20220621.0||20220621.0
57883|19990714|||
15627|20040607|||
52498|19951206|||
26613|20101217|||
54371|19960828|||
27410|20120717|||
15552|20040518|||
55113|19970130|||
55082|19970123|||
47769|19940202|20150126.0||
36258|20150518|||
59558|20010518|||
27274|20141204|||
36069|20160204|||
47763|19940110|||
28632|20111028|||
30852|20140127|||
27343|20140805|||
23984|20100115|||
615415|20171113|||
23649|20091030|||
13887|20020926|||
240166|20160712|||
585554|20171101|||
244868|20170110|||
27251|20140121|||
534592|20170825|||
530144|20170810|||
243843|20161201|||
417433|20170515|||
35945|20150626|20240125.0||20240123.0
427552|20170705|||
244849|20170106|||
26713|20110113|||
27074|20150121|||
27939|20110602|||
266257|20170310|||
35974|20150424|||
56877|19980703|||
26129|20101019|||
240652|20160726|||
12892|20070719|||
244555|20161228|||
776583|20171201|||
16883|20050603|||
47367|19930426|||
19599|20070427|||
525807|20170804|||
523335|20170731|||
24705|20100518|||
59121|20001129|||
47787|19940204|||
241408|20160830|||
243447|20161114|||
56355|19971113|||
267563|20170331|||
24339|20101011|||
35980|20150324|||
416971|20170512|||
36561|20150217|||
35341|20150630|||
28239|20110728|||
25282|20100526|||
243819|20161202|||
14337|20030311|||
27791|20110428|||
531440|20170918|||
21595|20080520|||
59337|20010228|||
25983|20101015|||
24950|20100427|||
849286|20180105|||
25004|20100427|||
36465|20150122|||
26520|20110125|||
14486|20030603|||
23446204|20180622|||
36534|20151209|||
421437|20170601|||
56857|19980626|||
267395|20170412|||
15640|20040609|||
25652|20110303|||
242311|20160930|||
35933|20141009|||
14718|20030822|||
21667|20080520|||
56958|19981014|||
266305|20170314|||
26813|20110215|||
59183|20001207|20230629.0||20230621.0
25347|20100806|||
54208|19960716|20211022.0||
47802|19940324|||
55521|19970729|||
53094|19960118|||
57055|19981203|||
20472|20071113|||
14285|20030220|||
17364|20091015|||
55072|19970131|||
54551|19961120|||
53519|19960531|||
13905|20021010|||
59672|20010702|||
21765|20080716|20220617.0||20220617.0
53605|19960528|20210430.0||
54775|19961016|||
57821|19990927|20171225.0||
53620|19960523|||
47446|19931008|||
56968|19981028|||
24149|20100205|||
47480|19931118|||
59792|20010820|||
36316|20160202|||
23355|20091111|||
58928|20000928|||
540537|20170915|||
244383|20161222|||
27399|20110803|||
14883|20031029|||
243659|20161122|||
245416|20170209|||
54488|19961101|||
26892|20110225|||
29491|20120529|||
29634|20141203|||
36370|20160419|||
30632|20150630|||
56320|19971021|||
20075|20070813|||
551467|20171020|||
238148|20160428|||
55267|19970709|||
36333|20160309|||
55386|19970526|20210913.0||
55067|19970106|||
27256|20150320|||
419521|20170525|||
47801|19940311|||
28155|20110707|||
24517|20100603|||
35932|20150528|||
244070|20161230|||
243942|20161207|||
35852|20150217|||
56994|19981119|||
27324|20110329|||
13730|20020723|20240807.0||20240801.0
35995|20150122|||
15125|20080425|||
415878|20170505|||
47365|19930416|||
23650|20091030|||
22195049|20180420|||
266034|20170302|||
23636|20100106|||
243585|20161118|||
24521|20100423|||
28549|20120508|||
15661|20040615|||
54212|19960812|||
25355|20100816|||
978080|20180301|||
30004|20140128|||
54209|19960808|||
24350|20100120|||
25039494|20180828|||
14555|20030703|||
244913|20161230|||
20195|20070816|||
25465|20140123|||
28347|20120321|||
13524|20020530|||
29481|20120427|||
29125|20120216|||
55387|19970617|||
49133|19940824|||
267559|20170414|||
59797|20010824|||
45910|19940103|20180713.0||
13545|20020605|||
15880|20040804|||
55529|19970731|||
21950|20080818|||
30211|20120921|||
55103|19970124|20220704.0||20220704.0
29553|20120327|20240826.0||20240826.0
49120|19940818|||
47471|19931108|20130426.0||
59153|20001127|||
59002|20001101|||
28544|20111026|20230706.0||20230706.0
58746|20000807|20230609.0||20230609.0
47419|19931122|||
23722|20091030|||
31041|20150324|20201110.0||
25020|20100430|||
47779|19940128|||
